title,price,pegi_rating,platform
Halo Infinite - Xbox Series X + S & Xbox One,34.5,PEGI-rating: 16 jaar en ouder,Xbox One
Dead Space Remake,59.98,PEGI-rating: 18 jaar en ouder,XBOX SERIES X
Forza Horizon 5 (Xbox Series X/Xbox One),64.99,PEGI-rating: 3 jaar en ouder,Xbox Series X
Hogwarts Legacy - Deluxe Edition (Xbox Series X),74.95,Advies: ,Xbox Series X
Grand Theft Auto (GTA): The Trilogy - The Definitive Edition - Xbox Series X + S & Xbox One,29.98,PEGI-rating: 18 jaar en ouder,Xbox One
"Just Dance 2022 (Inclusief ""Waterval"" van K3) - Xbox",17.95,PEGI-rating: 3 jaar en ouder,Xbox
Grand Theft Auto 5 - Day One Edition (GTA V) - Xbox Series X,25.93,PEGI-rating: 18 jaar en ouder,Xbox
Marvels Guardians of the Galaxy XBO,17.5,PEGI-rating: 16 jaar en ouder,Xbox Series X
Atari 50: The Anniversary Celebration - Xbox,29.99,PEGI-rating: 16 jaar en ouder,Xbox Series X
NBA 2K21 - Xbox Series X,3,PEGI-rating: 3 jaar en ouder,No Operating System
FIFA 22 NL Versie - Xbox Series X (Xbox Series X),5.99,PEGI-rating: 3 jaar en ouder,Xbox Series X
Marvel's Midnight Suns - Enhanced Editie - Xbox Series X,29.99,Advies: ,Xbox Series X
WWE 2K23 - Xbox Series X,57.95,PEGI-rating: 16 jaar en ouder,Xbox Series X
The Callisto Protocol - Day One Edition - Xbox Series X,29.99,PEGI-rating: 18 jaar en ouder,Xbox Series X
FIFA 23 XSX,48.99,Advies: ,Xbox Series X
Gotham Knights - Xbox Series X + S,31.99,PEGI-rating: 16 jaar en ouder,Xbox Series S
Farming Simulator 22 - Platinum Edition - Xbox Series X/Xbox One,39.29,PEGI-rating: 3 jaar en ouder,Xbox Series X
Back 4 Blood - Special Edition - Xbox Series X + S & Xbox One,18.39,PEGI-rating: 18 jaar en ouder,Xbox One
NBA 2K23 - Xbox Series X,29.99,PEGI-rating: 3 jaar en ouder,Xbox Series X
Maneater (Xbox Series X),9.98,PEGI-rating: 18 jaar en ouder,Xbox Series X
Resident Evil VIllage,39.9,,
FIFA 21 - Xbox Series X,44.64,PEGI-rating: 3 jaar en ouder,Xbox Series X
Elden Ring Launch Xone & XSX (Xbox Series X/),61.99,PEGI-rating: 16 jaar en ouder,Xbox One
Two Point Campus Enrolment Edition XSX,17.98,PEGI-rating: 3 jaar en ouder,Xbox One
Dead Island 2 - Day One Edition (Xbox Series X|S & Xbox One),54.95,PEGI-rating: 18 jaar en ouder,Xbox One
Scarlet Nexus - Xbox Series X/Xbox One,14.95,PEGI-rating: 16 jaar en ouder,Xbox One
Rainbow Six Siege - Deluxe Edtion (Xbox Series X),8,PEGI-rating: 18 jaar en ouder,Xbox Series X
ONE PIECE ODYSSEY,51.41,Advies: ,Xbox Series X
Elex 2 XSX,9.99,PEGI-rating: 18 jaar en ouder,Xbox Series X
The Witcher 3: Wild Hunt – Complete Edition,35.14,PEGI-rating: 18 jaar en ouder,Xbox Series X
Battlefield 2042 Xbox Series X Game,14.9,PEGI-rating: 16 jaar en ouder,Xbox Series X
Aliens: Fireteam Elite,22.94,PEGI-rating: 16 jaar en ouder,Xbox One
Way of the Hunter XSX,19.99,PEGI-rating: 16 jaar en ouder,Xbox One
Temtem - XBX,39.45,Meer mogelijkheden,Xbox Series X
Mortal Kombat 11 Ultimate Xbox One | Series X Game,29.99,PEGI-rating: 18 jaar en ouder,Xbox Series X
Train Sim World 2: Rush Hour Deluxe Edition,29,PEGI-rating: 3 jaar en ouder,Xbox One
Super Monkey Ball Banana Mania - Launch Edition,19.99,PEGI-rating: 12 jaar en ouder,Xbox Series X
Planet Coaster: Console Edition,20.39,PEGI-rating: 7 jaar en ouder,Xbox One
Bratz: Flaunt your Fashion - Xbox,39.99,PEGI-rating: 3 jaar en ouder,Xbox Series X
Assassin's Creed: Mirage - Xbox Series X,41.95,PEGI-rating: 18 jaar en ouder,Xbox Series X
Hunting Simulator 2 NL Versie - Xbox Series X,49.99,PEGI-rating: 16 jaar en ouder,Xbox Series X
Anno 1800 - Xbox Series X,36.23,Advies: ,Xbox Series X
Rabbids: Party of Legends - Xbox One/Xbox Series X,13.95,PEGI-rating: 7 jaar en ouder,Xbox One
Destroy All Humans 2 Reprobed XSX,18.99,PEGI-rating: 16 jaar en ouder,Xbox Series S
Wanted: Dead - Xbox (Int. SKU),46.03,PEGI-rating: 18 jaar en ouder,Xbox One
Disney Classic Games Collection: The Jungle Book. Aladdin & The Lion King,28,PEGI-rating: 7 jaar en ouder,Xbox One
Wanted: Dead Collectors Ed.- Xbox,66.01,PEGI-rating: 16 jaar en ouder,Xbox
F1 22 - Xbox Series X,19.97,PEGI-rating: 3 jaar en ouder,Xbox Series X
Demon Turf - Xbox Series X,24.99,PEGI-rating: 7 jaar en ouder,Xbox One
Crusader Kings III - Day One Edition (Xbox Series X),15.39,PEGI-rating: 12 jaar en ouder,Xbox Series X
Five Nights At Freddy’s : Core Collection,44.93,PEGI-rating: 12 jaar en ouder,Xbox One
Farming Simulator 22,38,PEGI-rating: 3 jaar en ouder,Xbox Series X
PAW Patrol The Movie: Adventure City Calls - Xbox Series X/Xbox One,19.95,PEGI-rating: 3 jaar en ouder,Xbox One
Tour de France 2022 - Xbox Series X + S,22.99,PEGI-rating: 3 jaar en ouder,Xbox Series S
PGA Tour 2K23 - Xbox Series X/Xbox One,26.72,PEGI-rating: 3 jaar en ouder,Xbox One
Ghostrunner,24.99,PEGI-rating: 18 jaar en ouder,Xbox Series X
