title,price,pegi_rating,platform
,,,
,,,
Hogwarts Legacy - PS5,"55,60",Meer mogelijkheden,PS5
Hogwarts Legacy - PS5,"55,60",Meer mogelijkheden,PS5
,,,
Hogwarts Legacy - PS5,"55,60",Meer mogelijkheden,PS5
,"55,60",Meer mogelijkheden,PS5
,,,
Grand Theft Auto V (GTA 5),"24,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Grand Theft Auto V (GTA 5),"24,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"24,99",Advies: ,PlayStation 5
,,,
F1 22 - PS5,"47,40",PEGI-rating: 3 jaar en ouder,PS5
,,,
F1 22 - PS5,"47,40",PEGI-rating: 3 jaar en ouder,PS5
,"47,40",Advies: ,PS5
,,,
FIFA 23 PS5,"63,95",Advies: ,PlayStation 5
,,,
FIFA 23 PS5,"63,95",Advies: ,PlayStation 5
,"63,95",Advies: ,PlayStation 5
,,,
Dead Space Remake,"59,60",PEGI-rating: 18 jaar en ouder,PS5
,,,
Dead Space Remake,"59,60",PEGI-rating: 18 jaar en ouder,PS5
,"59,60",Advies: ,PS5
,,,
God of War: Ragnarök - PS5,"67,95",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
God of War: Ragnarök - PS5,"67,95",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"67,95",Meer mogelijkheden,PlayStation 5
,,,
"ALLEEN VOOR GAMES ALAN WAKE REMASTERED PS5 VF, Franse versie","20,76",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
"ALLEEN VOOR GAMES ALAN WAKE REMASTERED PS5 VF, Franse versie","20,76",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"20,76",Advies: ,PlayStation 5
,,,
Final Fantasy XVI (PS5),"59,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Final Fantasy XVI (PS5),"59,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"59,99",,PlayStation 5
,,,
NBA 2K23 - PS5,"33,95",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
NBA 2K23 - PS5,"33,95",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"33,95",,PlayStation 5
,,,
Elden Ring Launch PS5 (PS5/),"62,95",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Elden Ring Launch PS5 (PS5/),"62,95",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"62,95",Advies: ,PlayStation 5
,,,
SAINTS ROW - Day One Edition,"19,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
SAINTS ROW - Day One Edition,"19,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"19,99",Advies: ,PlayStation 5
,,,
Elden Ring,"51,08",Advies: ,PlayStation 5
,,,
Elden Ring,"51,08",Advies: ,PlayStation 5
,"51,08",Advies: ,PlayStation 5
,,,
"NexiGo PS5 Accessoires horizontale standaard, [minimalistisch design], PS5-basisstandaard, compatibel met Playstation 5 Disc & Digital Editions, wit","26,99",Mediaan: ,
,,,
"NexiGo PS5 Accessoires horizontale standaard, [minimalistisch design], PS5-basisstandaard, compatibel met Playstation 5 Disc & Digital Editions, wit","26,99",Mediaan: ,
